Anatomy (2000),"['ALLEGRI Miserere mei (8.550827)', 'GIAZOTTO Adagio in G minor (8.552244)']"
And God Created Woman (1988),['GLUCK Orphee et Euridice: Danses des Ombres Heureuses (8.660185-86)']
And Now for Something Completely Different (1971),"['TCHAIKOVSKY Violin Concerto in D major, Op. 35: II. Canzonetta: Andante (8.550153)']"
And When Did You Last See Your Father? (2007),"['JS BACH Harpsichord Concerto in G Minor, BWV 1058: II. Andante (8.550423)', 'BELLINI Norma: Casta diva (8.110325-27)', 'SCHUBERT Piano Trio in E-Flat Major, D. 897, ""Notturno"": Adagio (8.550132)']"
Angela's Ashes,"['ALLEGRI Miserere mei (8.550827)', ""VERDI Don Carlos: E lui! desso! l'infante (8.660096-98)""]"
Angelica (2015),"['LISZT Schubert - Schwanengesang, S560/R245: No. 7. Standchen (Leise flehen meine Lieder) (8.553062)', 'MENDELSSOHN Lieder ohne Worte (Songs without Words): No. 12 in F - Sharp Minor, Op. 30, No. 6, MWV U110, ""Venezianisches Gondellied"" (8.554055)']"
Anger Management (2003),['BERNSTEIN West Side Story: I Feel Pretty (8.559126)']
Angie (1994),['MASSENET Thais: Meditation (Dynamic\xa0CDS427)']
Angst vor der Angst (Fear of Fear) (1975),"[""R STRAUSS Der Rosenkavalier (The Knight of the Rose), Op. 59, TrV 227: Marie Theres'!... Hab' mir's gelobt (8.111011-13)""]"
Animal House (National Lampoon's Animal House) (1978),"['PROKOFIEV Peter and the Wolf, Op. 67 (8.550499)', 'ROSSINI Guillaume Tell (William Tell): Overture (8.550236)']"
Anna,"['CHOPIN Waltz No. 9 in A-flat major, Op. 69, No. 1, ""L\'adieu"" (8.554539)']"
Anna Karenina (1997),"['PROKOFIEV Alexander Nevsky, Op. 78: II. Song about Alexander Nevsky (8.555710)', 'RACHMANINOV All-Night Vigil, Op. 37, ""Vespers"": Canticle of Simeon (8.555908)', 'RACHMANINOV Piano Sonata No. 2 in B-flat minor, Op. 36 (8.550349)', 'RACHMANINOV Prelude No. 1 in F-sharp minor, Op. 23: Largo (8.550348)', 'R STRAUSS 5 Lieder, Op. 41, TrV 195: No. 1. Wiegenlied (Capriccio\xa0C10258)', 'R STRAUSS 8 Gedichte aus Letzte Blatter, Op. 10, TrV 141: No. 1. Zueignung (8.570297)', 'TCHAIKOVSKY Eugene Onegin (8.550924)', 'TCHAIKOVSKY Swan Lake, Op. 20 (8.550246-47)', 'TCHAIKOVSKY Symphony No. 6 in B minor, Op. 74, ""Pathetique"" (8.550782)', 'TCHAIKOVSKY Violin Concerto in D major, Op. 35: I. Allegro moderato (8.550153)']"
Annie Hall (1977),"['HOLST The Planets, Op. 32: IV. Jupiter (8.555776)']"
Anniversary Party (2001),"['JS BACH Violin Sonata No. 1 in G minor, BWV 1001: I. Adagio (8.554422)']"
Anonimo Veneziano (1970),['A MARCELLO Oboe Concerto in D minor: II. Adagio (8.550556)']
Another Woman (1988),"['JS BACH Cello Suite No. 6 in D major, BWV 1012 (8.557280-81)', 'SATIE 3 Gymnopedies: Gymnopedie No. 3 (8.550305)']"
AntiTrust (2001),"['RACHMANINOV Prelude No. 5 in G major, Op. 32: Moderato (8.550466)']"
Antonia's Line (1995),"['JS BACH Cello Suite No. 1 in G major, BWV 1007: I. Prelude (8.557280-81)']"
Any Given Sunday (1999),"['DONIZZETI La figlia del reggimento: Finale (8.660161-62)', 'MUSSORGSKY Pictures at an Exhibition (8.550051)']"
Anywhere But Here (1999),"[""PUCCINI Manon Lescaut: L'ho abdandonato (8.660019-20)"", 'J STRAUSS II An der schonen, blauen Donau (The Beautiful Blue Danube), Op. 314 (8.550152)']"
Apocalypse Now (1979),"['WAGNER Die Walkure: Hojotoho! Hojotoho! (The Valkyries), ""Ride of the Valkyries"" (8.660172-74)']"
Apostate (The) (2015),"['EISLER Kleine Sinfonie, Op. 29: IV. Allegro (Capriccio\xa0C10500)', 'PROKOFIEV Alexander Nevsky, Op. 78: III. The Crusaders in Pskov (8.555710)', 'PROKOFIEV Alexander Nevsky, Op. 78: V. The Battle on Ice (8.555710)']"
April and the Extraordinary World (2015),"['MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro (8.550026)', 'SHOSTAKOVICH Symphony No. 5 in D minor, Op. 47: II. Allegretto (8.550632)', 'VIVALDI Concerto for Two Mandolins [Guitars] in G major, RV 532 (8.553028)', 'VIVALDI Mandolin Concerto in C major, RV 425 (Amadis\xa07239)']"
Apt Pupil (1998),"['BEETHOVEN Symphony No. 9 in D minor, Op. 125, ""Choral"": IV. Finale (8.553478)', 'WAGNER Tristan und Isolde: Mild und leise wie er lachelt (8.660152-54)', 'WAGNER  Tristan und Isolde: Prelude (8.660152-54)']"
Aristocats (The) (1970),"['BIZET Carmen: L\'amour est un oiseau rebelle, ""Habanera"" (8.660005-07)']"
Armageddon (1998),['ROSSINI Guillaume Tell (William Tell): Overture (8.550236)']
Arrival (II) (2016),"['DVORAK Serenade for Strings in E major, Op. 22: IV. Larghetto (8.550419)']"
Art of War (The) (2000),"[""BIZET Carmen: La fleur que tu m'avais jetee (8.550727)""]"
Arthur (1981),"['CHOPIN Waltz No. 7 in C-sharp minor, Op. 64, No. 2 (8.554539)']"
As Good As It Gets (1997),['GERSHWIN An American in Paris (8.550295)']
Assassins (1995),['PUCCINI Gianni Schicchi: O mio babbino caro (8.660111)']
Associate (The) (1996),"['MOZART Divertimento No. 15 in B-flat major, K. 287, ""Lodron Night Music No. 2"": III. Menuetto (8.550996)', 'MOZART Piano Concerto No. 25 in C major, K. 503: II. Andante (8.550207)']"
Asylum (2005),"['MUSSORGSKY Pictures at an Exhibition: I. Gnomus (8.550051)', 'MUSSORGSKY Pictures at an Exhibition: IX. The Hut on Fowls\' Legs, ""Baba Yaga"" (8.550051)', 'MUSSORGSKY St. John\'s Night on Bald Mountain, ""A Night on the Bare Mountain"" (8.550051)']"
At First Sight (1999),['SATIE 3 Gymnopedies: Gymnopedie No. 1 (8.550305)']
Atlantic City (1980),"['RIMSKY-KORSAKOV Sadko, Op. 5: Hindu Song (8.550125)']"
Attraction (2000),['CATALANI La Wally: Ebben Ne andro lontana (8.550606)']
Au revoir les enfants (1987),"['SAINT-SAENS Introduction and Rondo capriccioso in A minor, Op. 28 (8.553277)', 'SCHUBERT 6 Moments Musicaux, Op. 94, D. 780: II. Andantino (8.550259)']"
