"JS BACH Flute Sonata in C major, BWV 1033: IV. Menuet I and II (8.553755)",['Perdita Durango (1997))']
"JS BACH Flute Sonata in E-flat major, BWV 1031: II. Siciliano (8.553754)",['Breaking the Waves (1996))']
"JS BACH French Suite No. 1 in D minor, BWV 812: III. Sarabande (8.550709)",['Glenn Gould (32 Short Films about) (1993))']
"JS BACH Fugue in C major, BWV 952 (Nimbus NI5689-90)",['Unbreble (2000))']
"JS BACH Fugue in C major, BWV 953 (8.553097)",['Unbreakable (2000))']
"JS BACH Goldberg Variations, BWV 988 (8.550078)","['Last Castle (The) (2001)', 'Love (II) (2015)', 'Maurice (1987)', 'Murder by Numbers (2002)', 'No Letting Go (2015))']"
"JS BACH Goldberg Variations, BWV 988: Aria (8.550078)","[""Amant double (L') (Double Lover) (2017)"", 'Before Sunrise (1995)', 'English Patient (The) (1996)', 'Hannibal (2001)', 'Silence of the Lambs (The) (1991))']"
"JS BACH Goldberg Variations, BWV 988: Aria and Variation 19 (8.550078)",['Glenn Gould (32 Short Films about) (1993))']
"Goldberg Variations, BWV 988: Variation 7 (8.550078",['Silence of the Lambs (The) (1991))']
"JS BACH Goldberg Variations, BWV 988: Variation 15 (8.550078)","['Solaris (2002)', 'Before Sunrise (1995)', 'Hannibal (2001)', 'Terminal Man (The) (1974))']"
"JS BACH Goldberg Variations, BWV 988: Variation 27 (8.550078)",['Goldfinch (The) (2019))']
"JS BACH Harpsichord Concerto in D major, BWV 1054 (8.550422)",['Love Story (1970))']
"JS BACH Harpsichord Concerto in F minor, BWV 1056 (8.550423)","['Well (The) (1997)', 'Portrait of a Lady (The) (1996))']"
"JS BACH Harpsichord Concerto in F minor, BWV 1056: II. Largo (8.550423)","['Hannah and Her Sisters (1986)', 'Lara Croft: Tomb Raider (2001)', 'Primal Fear (1996)', 'Slaughterhouse Five (1972))']"
"JS BACH Harpsichord Concerto in G Minor, BWV 1058: II. Andante (8.550423)",['And When Did You Last See Your Father? (2007))']
"JS BACH Herz und Mund und Tat und Leben, BWV 147: Jesu, Joy of Man's Desiring (arr. for organ) (8.553859)",['Muppets Most Wanted (2014))']
"JS BACH Herzlich tut mich verlagen, BWV 727 (Marco Polo 8.223452)",['Trainspotting (1996))']
"JS BACH Ich ruf' zu Dir, Herr Jesu Christ (I call on you, Lord Jesus Christ), BWV 639 (8.553032)","['Amour (2012)', 'Dr Jekyll and Mr Hyde (1931)', 'Nymphomaniac: Vol. I (2013)', 'Solaris (2002))']"
"JS BACH Invention No. 1 in C major, BWV 772 (8.550679)",['Still Breathing (1997))']
"JS BACH Invention No. 8 in F major, BWV 779 (8.550679)",['Boomerang (1992))']
"JS BACH Invention No. 13 in A minor, BWV 784 (8.550679)",['Glenn Gould (32 Short Films about) (1993))']
"JS BACH Invention No. 14 in B-flat major, BWV 785 (8.550679)",['Ice Storm (The) (1997))']
"JS BACH Keyboard Concerto in D Minor, BWV 974 (arr of A. Marcello's Oboe Concerto): II. Adagio (8.572006-07)","['Fifty Shades of Grey (2015)', 'Life with Music (2020))']"
"JS BACH Lobet den Herrn, alle Heiden, BWV 230 (8.553823)",['Oscar and Lucinda (1997))']
"JS BACH Mass in B minor, BWV 232 (8.550585-86)",['Me and Earl and the Dying Girl (2015))']
"JS BACH Mass in B minor, BWV 232: Gloria in excelsis Deo (8.550585-86)",['Three Kings (1999))']
"JS BACH Mass in B minor, BWV 232: Et resurrexit (8.550585-86)",['Man Trouble (1992))']
"JS BACH Musical Offering, BWV 1079: Ricercar (8.553286)",['Life with Music (2020))']
"JS BACH Organ Concerto in A minor, BWV 593 (arr. of Vivaldi's Violin Concerto in A minor, RV 522) (8.550936)",['Scare Campaign (2016))']
"JS BACH Overture (Suite) No. 1 in C major, BWV 1066: VI. Bourree I and II (8.554609)",['Story of Us (The) (1999))']
