COMPOSER composition title,composer(abbrev),composition
"MOZART String Quartet No. 4 in C major, K. 157: I. Allegro (8.550541)",MOZART,"String Quartet No. 4 in C major, K. 157: I. Allegro"
GERSHWIN Porgy and Bess: Summertime (8.110219-20),GERSHWIN,Porgy and Bess: Summertime
"JS BACH Concerto in the Italian Style, BWV 971, ""Italian Concerto"": III. Presto (8.550709)",JS BACH,"Concerto in the Italian Style, BWV 971, ""Italian Concerto"": III. Presto"
COPLAND Appalachian Spring: I. Very slowly (Cedille CDR90000-125),COPLAND,Appalachian Spring: I. Very slowly
COPLAND Appalachian Spring: VIII. Moderato (Cedille CDR90000-125),COPLAND,Appalachian Spring: VIII. Moderato
COPLAND Billy the Kid Suite: I. Introduction (Dorian Sono Luminus DOR-90170),COPLAND,Billy the Kid Suite: I. Introduction
COPLAND Billy the Kid Suite: VIII. The Open Prairie again (Dorian Sono Luminus DOR-90170),COPLAND,Billy the Kid Suite: VIII. The Open Prairie again
COPLAND Dance Panels: IV. Pas de trois (8.559758),COPLAND,Dance Panels: IV. Pas de trois
COPLAND Down a Country Lane (Cedille CDR90000-021),COPLAND,Down a Country Lane
COPLAND John Henry (Sony Classical 074646059326),COPLAND,John Henry
COPLAND Letter from Home (8.559240),COPLAND,Letter from Home
COPLAND Lincoln Portrait (8.559373-74),COPLAND,Lincoln Portrait
COPLAND Music for the Theatre Suite: III. Interlude (9.80865),COPLAND,Music for the Theatre Suite: III. Interlude
COPLAND New England Countryside (9.80865),COPLAND,New England Countryside
COPLAND Orchestral Variations (Sony Classical 074644723625),COPLAND,Orchestral Variations
COPLAND Rodeo: IV. Hoe-Down (8.559240),COPLAND,Rodeo: IV. Hoe-Down
COPLAND The Red Pony Suite: IIIa. Dream March (8.559240),COPLAND,The Red Pony Suite: IIIa. Dream March
COPLAND The Red Pony Suite: IIIb Circus March (8.559240),COPLAND,The Red Pony Suite: IIIb Circus March
COPLAND The Red Pony Suite: V. Grandfather's Story (8.559240),COPLAND,The Red Pony Suite: V. Grandfather's Story
COPLAND The Story of Grovers Corners (9.80865),COPLAND,The Story of Grovers Corners
"VERDI Il Trovatore: Ah! si, ben mio (8.660023-24)",VERDI,"Il Trovatore: Ah! si, ben mio"
BORODIN String Sextet in D minor: II. Andante (Onyx ONYX4067),BORODIN,String Sextet in D minor: II. Andante
LIGETI Cello Concerto (Wergo WER6036-2),LIGETI,Cello Concerto
"R SCHUMANN 8 Fantasiestucke, Op. 12: No. 1. Des Abends (8.550493)",R SCHUMANN,"8 Fantasiestucke, Op. 12: No. 1. Des Abends"
DONIZETTI L'elisir d'amore: Dell'elisir mirabile (8.660045-46),DONIZETTI,L'elisir d'amore: Dell'elisir mirabile
"BEETHOVEN Minuet in G major, WoO 10, No. 6 (8.550646)",BEETHOVEN,"Minuet in G major, WoO 10, No. 6"
PUCCINI Madama Butterfly: Humming Chorus (8.660015-16),PUCCINI,Madama Butterfly: Humming Chorus
"MOZART Cosi fan tutte, K. 588: Soave sia il vento (8.660008-10)",MOZART,"Cosi fan tutte, K. 588: Soave sia il vento"
"JS BACH Concerto for 2 Violins in D Minor, BWV 1043 : I. Vivace (8.550194)",JS BACH,"Concerto for 2 Violins in D Minor, BWV 1043 : I. Vivace"
DEBUSSY 6 Epigraphes antiques: V. Pour l'egyptienne (8.553291),DEBUSSY,6 Epigraphes antiques: V. Pour l'egyptienne
DEBUSSY La plus que lente (8.553292),DEBUSSY,La plus que lente
DEBUSSY Petite Suite: IV. Ballet (BIS BIS-CD-526),DEBUSSY,Petite Suite: IV. Ballet
DEBUSSY Violin Sonata in G minor: I. Allegro vivo (8.550276),DEBUSSY,Violin Sonata in G minor: I. Allegro vivo
POULENC Nocturne No. 1 in C major: Sans trainer (8.553929),POULENC,Nocturne No. 1 in C major: Sans trainer
POULENC Leocadia: Valse des chemins de l'amour (8.553615),POULENC,Leocadia: Valse des chemins de l'amour
SATIE Je te veux (8.550698),SATIE,Je te veux
TARREGA Gran vals (8.572365),TARREGA,Gran vals
"JS BACH St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen! (8.550832-34)",JS BACH,"St. Matthew Passion, BWV 244: Kommt, ihr Tochter, helft mir klagen!"
"DVORAK Czech Suite in D Major, B. 93, Op. 39 (8.553005)",DVORAK,"Czech Suite in D Major, B. 93, Op. 39"
"HANDEL Israel in Egypt, HWV 54: And believed the Lord and His servant Moses (8.570966-67)",HANDEL,"Israel in Egypt, HWV 54: And believed the Lord and His servant Moses"
"GORECKI Male requiem dla pewnej polki (Little Requiem for a Certain Polka), Op. 66 (8.572872)",GORECKI,Male requiem dla pewnej polki
KILAR Konig der letzten Tage (King of the Last Days): Agnus Dei (8.557703),KILAR,Konig der letzten Tage
PART Sarah was 90 Years Old (ECM Records 00042284753920),PART,Sarah was 90 Years Old
PART Tabula Rasa (8.554591),PART,Tabula Rasa
"JS BACH Brandenburg Concerto No. 4 in G major, BWV 1049 (8.554608)",JS BACH,"Brandenburg Concerto No. 4 in G major, BWV 1049"
BINGE Sailing By (Marco Polo 8.223515),BINGE,Sailing By
"JS BACH Cello Suite No. 1 in G major, BWV 1007: VI. Gigue (8.557280-81)",JS BACH,"Cello Suite No. 1 in G major, BWV 1007: VI. Gigue"
"JS BACH Cello Suite No. 6 in D major, BWV 1012: V. Gavotte I and II (8.557280-81)",JS BACH,"Cello Suite No. 6 in D major, BWV 1012: V. Gavotte I and II"
"JS BACH Overture (Suite) No. 3 in D major, BWV 1068: I. Ouverture (8.554609)",JS BACH,Overture
"BEETHOVEN Piano Trio in B-flat major, Op. 97, ""Archduke"": I. Allegro Moderato (8.550442)",BEETHOVEN,"Piano Trio in B-flat major, Op. 97, ""Archduke"": I. Allegro Moderato"
"BRAHMS Cello Sonata No. 2 in F major, Op. 99: II. Adagio affettuoso (8.550656)",BRAHMS,"Cello Sonata No. 2 in F major, Op. 99: II. Adagio affettuoso"
"DVORAK Cello Concerto in B Minor, Op. 104, B. 191: II. Adagio ma non troppo (8.550503)",DVORAK,"Cello Concerto in B Minor, Op. 104, B. 191: II. Adagio ma non troppo"
"ELGAR Cello Concerto in E minor, Op. 85 (8.550503)",ELGAR,"Cello Concerto in E minor, Op. 85"
FRANCK Violin Sonata in A major: IV. Allegretto poco mosso (8.550417),FRANCK,Violin Sonata in A major: IV. Allegretto poco mosso
"HAYDN Cello Concerto No. 1 in C major, Hob.VIIb:1: III. Allegro molto (8.550059)",HAYDN,"Cello Concerto No. 1 in C major, Hob.VIIb:1: III. Allegro molto"
"L MOZART Cassation in G major, ""Berchtesgadener Musik"", ""Toy Symphony"": I. Allegro (8.570499)",L MOZART,"Cassation in G major, ""Berchtesgadener Musik"", ""Toy Symphony"": I. Allegro"
"R SCHUMANN Fantasiestucke, Op. 73: No. 1 Zart und mit Ausdruck (8.550654)",R SCHUMANN,"Fantasiestucke, Op. 73: No. 1 Zart und mit Ausdruck"
"BADARZEWSKA-BARANOWSKA The Maiden's Prayer, Op. 4 (8.550141)",BADARZEWSKA-BARANOWSKA,"The Maiden's Prayer, Op. 4"
"BEETHOVEN Symphony No. 3 in E-flat major, Op. 55, ""Eroica"": III. Scherzo (8.553475)",BEETHOVEN,"Symphony No. 3 in E-flat major, Op. 55, ""Eroica"": III. Scherzo"
"CHOPIN Prelude No. 1 in C major, Op. 28, No. 1 (8.554536)",CHOPIN,"Prelude No. 1 in C major, Op. 28, No. 1"
GOUNOD Marche funebre d'une marionnette (Funeral March of a Marionette) (9.70146),GOUNOD,Marche funebre d'une marionnette
"MOZART Violin Concerto No. 3 in G major, K. 216 (8.550418)",MOZART,"Violin Concerto No. 3 in G major, K. 216"
PART Spiegel im Spiegel (9.70214),PART,Spiegel im Spiegel
DARKE HAROLD In the Bleak Midwinter (8.554179),DARKE HAROLD,In the Bleak Midwinter
"MOZART Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"" (8.550108)",MOZART,"Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"""
"VIVALDI Gloria in D major, RV 589: Gloria in excelsis Deo (8.550767)",VIVALDI,"Gloria in D major, RV 589: Gloria in excelsis Deo"
BORODIN Prince Igor: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) from Prince Igor (8.557456),BORODIN,Prince Igor: Polovtsian Dances - Ulyetay na kril'yahk vyetra
"VIVALDI The 4 Seasons: Violin Concerto in F minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter): I. Allegro non molto (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in F minor, Op. 8, No. 4, RV 297, ""L'inverno"""
PUCCINI La Rondine: Chi il bel sogno di Doretta (8.550605),PUCCINI,La Rondine: Chi il bel sogno di Doretta
"MOZART String Quartet No. 17 in B-flat major, K. 458, ""Hunt"": IV. Allegro assai (8.550542)",MOZART,"String Quartet No. 17 in B-flat major, K. 458, ""Hunt"": IV. Allegro assai"
"BEETHOVEN Cello Sonata No. 1 in F major, Op. 5, No. 1 (8.550479)",BEETHOVEN,"Cello Sonata No. 1 in F major, Op. 5, No. 1"
OFFENBACH The Marines' Hymn (arr. D. Hunsberger for wind ensemble) (8.573121),OFFENBACH,The Marines' Hymn
SOUSA The Thunderer (Altissimo 75442201072),SOUSA,The Thunderer
MOURET Premiere Suite de Symphonies: Rondeau (8.556623),MOURET,Premiere Suite de Symphonies: Rondeau
"JS BACH St. Matthew Passion, BWV 244 (8.550832-34)",JS BACH,"St. Matthew Passion, BWV 244"
"SCHUBERT Schwanengesang, D. 957: No. 13. Der Doppelganger (8.554663)",SCHUBERT,"Schwanengesang, D. 957: No. 13. Der Doppelganger"
"R STRAUSS 4 letzte Lieder (4 Last Songs), Op. posth., TrV 296: No. 3. Beim Schlafengehen (8.570283)",R STRAUSS,4 letzte Lieder
"BEETHOVEN Symphony No. 6 in F major, Op. 68, ""Pastoral"": II. Andante molto mosso (8.553474)",BEETHOVEN,"Symphony No. 6 in F major, Op. 68, ""Pastoral"": II. Andante molto mosso"
"CHOPIN Piano Concerto No. 2 in F Minor, Op. 21: II. Larghetto (8.550369)",CHOPIN,"Piano Concerto No. 2 in F Minor, Op. 21: II. Larghetto"
"MOZART String Quartet No. 19 in C major, K. 465, ""Dissonance"": I. Adagio - Allegro (8.550543)",MOZART,"String Quartet No. 19 in C major, K. 465, ""Dissonance"": I. Adagio - Allegro"
"MOZART Violin Sonata No. 17 in C major, K. 296: II. Andante sostenuto (8.553111)",MOZART,"Violin Sonata No. 17 in C major, K. 296: II. Andante sostenuto"
PUCCINI Madama Butterfly: Ecco! Son giunte (8.553152),PUCCINI,Madama Butterfly: Ecco! Son giunte
"VIVALDI Viola d'amore Concerto in D minor, RV 394: II. Largo (Orion LAN0764)",VIVALDI,"Viola d'amore Concerto in D minor, RV 394: II. Largo"
"HAYDN String Quartet No. 53 in D major, Op. 64, No. 5, Hob.III:63, ""The Lark"" (8.550674)",HAYDN,"String Quartet No. 53 in D major, Op. 64, No. 5, Hob.III:63, ""The Lark"""
A MARCELLO Oboe Concerto in D minor (8.550556),A MARCELLO,Oboe Concerto in D minor
"MOZART Cosi fan tutte, K. 588 (8.660008-10)",MOZART,"Cosi fan tutte, K. 588"
PUCCINI Madama Butterfly (8.660015-16),PUCCINI,Madama Butterfly
"MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: Appendix - Act IV No. 28a: Al desio di chi t'adora (Rondo, K. 577) (8.660102-04)",MOZART,Le Nozze di Figaro
"SAINT-SAENS  Symphony No. 3 in C minor, Op. 78, ""Organ"" (8.550138)",SAINT-SAENS,"Symphony No. 3 in C minor, Op. 78, ""Organ"""
"BEETHOVEN Symphony No. 5 in C minor, Op. 67: III. Allegro (8.553476)",BEETHOVEN,"Symphony No. 5 in C minor, Op. 67: III. Allegro"
"GRAINGER A Bridal Lullaby ""Goodbye to Love"" (Chandos CHAN10205)",GRAINGER,"A Bridal Lullaby ""Goodbye to Love"""
GRAINGER Mock Morris (9.80571),GRAINGER,Mock Morris
"CHOPIN	Waltz No. 1 in E-flat major, Op. 18 (8.554539)",CHOPIN,"Waltz No. 1 in E-flat major, Op. 18"
KHACHATURIAN Adagio of Spartacus and Phrygia (8.553248),KHACHATURIAN,Adagio of Spartacus and Phrygia
SAINT-SAENS Danse macabre (8.550088),SAINT-SAENS,Danse macabre
"SCHUBERT String Quartet No. 13 in A minor, D. 804 (8.550591)",SCHUBERT,"String Quartet No. 13 in A minor, D. 804"
DEBUSSY Proses lyriques: No. 3. De fleurs (BIS BIS-2102),DEBUSSY,Proses lyriques: No. 3. De fleurs
KREISLER Liebesleid (8.550306),KREISLER,Liebesleid
"SARASATE Zigeunerweisen, Op. 20 (8.550494)",SARASATE,"Zigeunerweisen, Op. 20"
"TCHAIKOVSKY Piano Concerto No. 1 in B-flat minor, Op. 23 (8.550137)",TCHAIKOVSKY,"Piano Concerto No. 1 in B-flat minor, Op. 23"
"MOZART String Quartet No. 16 in E-flat major, K. 428 (8.550540)",MOZART,"String Quartet No. 16 in E-flat major, K. 428"
"JS BACH Violin Partita No. 3 in E major, BWV 1006: III. Gavotte en rondeau (8.570277-78)",JS BACH,"Violin Partita No. 3 in E major, BWV 1006: III. Gavotte en rondeau"
"BRAHMS Waltz No. 15 in A-flat major, Op. 39 (8.570290)",BRAHMS,"Waltz No. 15 in A-flat major, Op. 39"
"MAHLER Symphony No. 6 in A minor, ""Tragic"": I. Allegro energico, ma non troppo. Heftig, aber markig (8.550529-30)",MAHLER,"Symphony No. 6 in A minor, ""Tragic"": I. Allegro energico, ma non troppo. Heftig, aber markig"
"MOZART Piano Concerto No. 23 in A major, K. 488: II. Adagio (8.550204)",MOZART,"Piano Concerto No. 23 in A major, K. 488: II. Adagio"
"JS BACH Was mir behagt, ist nur die muntre Jagd, BWV 208, ""Hunt Cantata"": Schafe konnen sicher weiden from Was mir behagt, ist nur die muntre Jagd (8.550643)",JS BACH,"Was mir behagt, ist nur die muntre Jagd, BWV 208, ""Hunt Cantata"": Schafe konnen sicher weiden from Was mir behagt, ist nur die muntre Jagd"
"MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: Voi, che sapete (8.660102-04)",MOZART,Le Nozze di Figaro
"KABALEVSKY Komedianti (The Comedians), Op. 26: IV. Waltz (8.553411)",KABALEVSKY,Komedianti
"JS BACH Invention No. 14 in B-flat major, BWV 785 (8.550679)",JS BACH,"Invention No. 14 in B-flat major, BWV 785"
WAGNER Lohengrin: Prelude (8.550136),WAGNER,Lohengrin: Prelude
"SHOSTAKOVICH Symphony No. 1 in F minor, Op. 10 (8.550623)",SHOSTAKOVICH,"Symphony No. 1 in F minor, Op. 10"
"BEETHOVEN Christus am Olberge (Christ on the Mount of Olives), Op. 85 (Haenssler Classic CD98.422)",BEETHOVEN,Christus am Olberge
"BEETHOVEN Missa Solemnis, Op. 123: Kyrie eleison (8.557060)",BEETHOVEN,"Missa Solemnis, Op. 123: Kyrie eleison"
"BEETHOVEN Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": III. Presto agitato (8.550045)",BEETHOVEN,"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": III. Presto agitato"
"BEETHOVEN String Quartet No. 13 in B-flat major, Op. 130: V. Cavatina (8.554593)",BEETHOVEN,"String Quartet No. 13 in B-flat major, Op. 130: V. Cavatina"
"BEETHOVEN Symphony No. 3 in E-flat major, Op. 55, ""Eroica"": I. Allegro con brio (8.553475)",BEETHOVEN,"Symphony No. 3 in E-flat major, Op. 55, ""Eroica"": I. Allegro con brio"
"BEETHOVEN Symphony No. 6 in F major, Op. 68, ""Pastoral"": III. Allegro (8.553474)",BEETHOVEN,"Symphony No. 6 in F major, Op. 68, ""Pastoral"": III. Allegro"
"BEETHOVEN Symphony No. 6 in F major, Op. 68, ""Pastoral"": IV. Allegro (8.553474)",BEETHOVEN,"Symphony No. 6 in F major, Op. 68, ""Pastoral"": IV. Allegro"
"BEETHOVEN Symphony No. 9 in D minor, Op. 125, ""Choral"": I. Allegro ma non troppo, un poco maestoso (8.553478)",BEETHOVEN,"Symphony No. 9 in D minor, Op. 125, ""Choral"": I. Allegro ma non troppo, un poco maestoso"
"BEETHOVEN Violin Concerto in D major, Op. 61: I. Allegro ma non troppo (8.550149)",BEETHOVEN,"Violin Concerto in D major, Op. 61: I. Allegro ma non troppo"
"BEETHOVEN Violin Concerto in D major, Op. 61: II. Larghetto (8.550149)",BEETHOVEN,"Violin Concerto in D major, Op. 61: II. Larghetto"
"BEETHOVEN Violin Sonata No. 9 in A major, Op. 47, ""Kreutzer"": I. Adagio sostenuto (8.550283)",BEETHOVEN,"Violin Sonata No. 9 in A major, Op. 47, ""Kreutzer"": I. Adagio sostenuto"
"BRAHMS Piano Concerto No. 1 in D minor, Op. 15 (8.554088)",BRAHMS,"Piano Concerto No. 1 in D minor, Op. 15"
"BRAHMS Symphony No. 1 in C minor, Op. 68 (8.550278)",BRAHMS,"Symphony No. 1 in C minor, Op. 68"
"BRAHMS Symphony No. 4 in E minor, Op. 98: I. Allegro non troppo (8.550281)",BRAHMS,"Symphony No. 4 in E minor, Op. 98: I. Allegro non troppo"
"MOZART Die Zauberflote (The Magic Flute), K. 620: Excerpts (8.660030-31)",MOZART,Die Zauberflote
"SCHUBERT Winterreise, Op. 89, D. 911: No. 24. Der Leiermann (8.554471)",SCHUBERT,"Winterreise, Op. 89, D. 911: No. 24. Der Leiermann"
HOLST In the Bleak Midwinter (8.550589),HOLST,In the Bleak Midwinter
"JS BACH  Overture (Suite) No. 3 in D major, BWV 1068: III. Gavotte I and II (8.554609)",JS BACH,Overture
"MOZART	Requiem in D Minor, K. 626: Dies irae (8.550235)",MOZART,"Requiem in D Minor, K. 626: Dies irae"
"VIVALDI Concerto for 2 Violins in A minor, Op. 3, No. 8, RV 522 (8.550160)",VIVALDI,"Concerto for 2 Violins in A minor, Op. 3, No. 8, RV 522"
"BEETHOVEN Piano Sonata No. 15 in D Major, Op. 28, ""Pastoral"" (8.550255)",BEETHOVEN,"Piano Sonata No. 15 in D Major, Op. 28, ""Pastoral"""
"CHOPIN Ballade No. 2 in F Major, Op. 38 (8.550508)",CHOPIN,"Ballade No. 2 in F Major, Op. 38"
MAHLER Symphony No. 4: IV. Sehr behaglich (8.550527),MAHLER,Symphony No. 4: IV. Sehr behaglich
"R SCHUMANN 3 Romanzen, Op. 28: II. Einfach (8.550849)",R SCHUMANN,"3 Romanzen, Op. 28: II. Einfach"
TCHAIKOVSKY The Nutcracker: Divertissements (8.550515),TCHAIKOVSKY,The Nutcracker: Divertissements
"HANDEL Organ Concerto in B-flat major, Op. 4, No. 6 (8.553835)",HANDEL,"Organ Concerto in B-flat major, Op. 4, No. 6"
"HAYDN Piano Sonata No. 59 in E-flat major, Hob.XVI:49: II. Adagio e cantabile (8.550657)",HAYDN,"Piano Sonata No. 59 in E-flat major, Hob.XVI:49: II. Adagio e cantabile"
"BEETHOVEN Piano Concerto No. 3 in C minor, Op. 37 (8.550122)",BEETHOVEN,"Piano Concerto No. 3 in C minor, Op. 37"
"BEETHOVEN Symphony No. 8 in F major, Op. 93 (8.553475)",BEETHOVEN,"Symphony No. 8 in F major, Op. 93"
"MOZART Don Giovanni, K. 527 (8.660080-82)",MOZART,"Don Giovanni, K. 527"
"SCHUBERT String Quartet No. 12 in C minor, D. 703, ""Quartettsatz"" (8.550590)",SCHUBERT,"String Quartet No. 12 in C minor, D. 703, ""Quartettsatz"""
"JS BACH The Well-Tempered Clavier Book II: Prelude and Fugue No. 18 in G-sharp minor, BWV 887 (8.550970-71)",JS BACH,"The Well-Tempered Clavier Book II: Prelude and Fugue No. 18 in G-sharp minor, BWV 887"
"SCHUBERT 4 Impromptus, Op. 142, D. 935: Impromptu No. 3 in B-flat major (8.550260)",SCHUBERT,"4 Impromptus, Op. 142, D. 935: Impromptu No. 3 in B-flat major"
"SCHUBERT String Trio in B-flat major, D. 581: III. Rondo (8.553255)",SCHUBERT,"String Trio in B-flat major, D. 581: III. Rondo"
SOUSA El Capitan March (8.559247),SOUSA,El Capitan March
"VIVALDI Cello Concerto in C minor, RV 401 (8.550908)",VIVALDI,"Cello Concerto in C minor, RV 401"
"WALDTEUFEL Les patineurs (The Skaters), Op. 183 (8.553337)",WALDTEUFEL,Les patineurs
"CHOPIN Etude No. 9 in F minor, Op. 10, No. 9 (8.554528)",CHOPIN,"Etude No. 9 in F minor, Op. 10, No. 9"
"SCHUBERT Fantasie in F minor, D. 940 (8.555930)",SCHUBERT,"Fantasie in F minor, D. 940"
MUSSORGSKY Pictures at an Exhibition: X. The Great Gate of Kiev (8.550051),MUSSORGSKY,Pictures at an Exhibition: X. The Great Gate of Kiev
"CACCINI Amarilli, mia bella (8.557538)",CACCINI,"Amarilli, mia bella"
"							WAXMAN Sorry, Wrong Number",WAXMAN,"WAXMAN Sorry, Wrong Numbe"
STRAVINSKY Le sacre du printemps (The Rite of Spring) (1913 version): Part I (Adoration of the Earth): The Augurs of Spring (8.557501),STRAVINSKY,Le sacre du printemps
STRAVINSKY Le sacre du printemps (The Rite of Spring) (1913 version): Part II (The Sacrifice): Ritual Action of the Ancestors (8.557501),STRAVINSKY,Le sacre du printemps
FRANCK Panis angelicus (8.578210),FRANCK,Panis angelicus
"BERLIOZ La Damnation de Faust (The Damnation of Faust), Op. 24:  Hungarian March, ""Rakoczy March"" (8.660116-17)",BERLIOZ,La Damnation de Faust
VERDI Il Trovatore: Di quella pira (8.660023-24),VERDI,Il Trovatore: Di quella pira
GLUCK Orfeo ed Euridice (8.660064),GLUCK,Orfeo ed Euridice
PART Cantus in Memory of Benjamin Britten for Strings and Bell (8.553750),PART,Cantus in Memory of Benjamin Britten for Strings and Bell
"SHOSTAKOVICH Symphony No. 15 in A major, Op. 141 (8.550624)",SHOSTAKOVICH,"Symphony No. 15 in A major, Op. 141"
VERDI La forza del destino: Overture (8.552121-22),VERDI,La forza del destino: Overture
CHARPENTIER Lecons de Tenebres: Trisous est Anima - In Hoc Festo,CHARPENTIER,Lecons de Tenebres: Trisous est Anima - In Hoc Fest
"CORELLI Follia, Op. 5, No. 12 (8.557799)",CORELLI,"Follia, Op. 5, No. 12"
"DUPHLY Pieces de clavecin, Book 1: Courante (Dorian Sono Luminus DOR-93169)",DUPHLY,"Pieces de clavecin, Book 1: Courante"
PERGOLESI Stabat Mater (8.557447),PERGOLESI,Stabat Mater
"BIZET  Carmen: L'amour est un oiseau rebelle, ""Habanera"" (8.660005-07)",BIZET,"Carmen: L'amour est un oiseau rebelle, ""Habanera"""
"MOZART	Horn Concerto No. 2 in E-flat major, K. 417: III. Rondo (8.553592)",MOZART,"Horn Concerto No. 2 in E-flat major, K. 417: III. Rondo"
GOUNOD Faust: Waltz and Chorus (8.660456-58),GOUNOD,Faust: Waltz and Chorus
"JS BACH Partita No. 2 in D minor, BWV 1004: V. Ciaccona (8.550570)",JS BACH,"Partita No. 2 in D minor, BWV 1004: V. Ciaccona"
"BEETHOVEN Violin Sonata No. 9 in A major, Op. 47, ""Kreutzer"": II. Andante con variazioni (8.550283)",BEETHOVEN,"Violin Sonata No. 9 in A major, Op. 47, ""Kreutzer"": II. Andante con variazioni"
BIZET Les pecheurs de perles (The Pearl Fishers): O Dieu Brahma! (Dynamic CDS459),BIZET,Les pecheurs de perles
"DURUFLE Notre Pere, Op. 14 (8.553196)",DURUFLE,"Notre Pere, Op. 14"
"PROKOFIEV Cinderella, Op. 87: Act III: Amoroso (Via Classic 3700403528336)",PROKOFIEV,"Cinderella, Op. 87: Act III: Amoroso"
"DVORAK String Quartet No. 12 in F major, Op. 96, B. 179, ""American"": I. Allegro ma non troppo (8.553371)",DVORAK,"String Quartet No. 12 in F major, Op. 96, B. 179, ""American"": I. Allegro ma non troppo"
"DVORAK Serenade in D minor, Op. 44, B. 77 (9.80338)",DVORAK,"Serenade in D minor, Op. 44, B. 77"
"VIVALDI Flute Concerto in D major, Op. 10, No. 3, RV 428, ""Il cardellino"" (8.554053)",VIVALDI,"Flute Concerto in D major, Op. 10, No. 3, RV 428, ""Il cardellino"""
"VIVALDI Concerto for Two Mandolins [Guitars] in G major, RV 532: I. Allegro (8.553028)",VIVALDI,"Concerto for Two Mandolins [Guitars] in G major, RV 532: I. Allegro"
"BEETHOVEN Symphony No. 8 in F major, Op. 93: II. Allegretto scherzando (8.553475)",BEETHOVEN,"Symphony No. 8 in F major, Op. 93: II. Allegretto scherzando"
VERDI Il Trovatore: Stride la vampa! (8.660023-24),VERDI,Il Trovatore: Stride la vampa!
"GRANADOS Twelve Spanish Dances, Op. 37: No. 5 Andantino quasi Allegretto (8.553037)",GRANADOS,"Twelve Spanish Dances, Op. 37: No. 5 Andantino quasi Allegretto"
LAST The Lonely Shepherd (8.990013),LAST,The Lonely Shepherd
"MOZART Don Giovanni, K. 527: Il mio tesoro (8.660080-82)",MOZART,"Don Giovanni, K. 527: Il mio tesoro"
SMETANA Ma vlast (My Fatherland): No. 2. Vltava (Moldau) (8.550931),SMETANA,Ma vlast
"VIVALDI The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"" (Autumn) (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in F major, Op. 8, No. 3, RV 293, ""L'autunno"""
"BERLIOZ Symphonie fantastique, Op. 14: II. Un bal: Allegro non troppo (8.550093)",BERLIOZ,"Symphonie fantastique, Op. 14: II. Un bal: Allegro non troppo"
ELGAR Pomp and Circumstance Military March No. 5 (8.557273),ELGAR,Pomp and Circumstance Military March No. 5
"JS BACH Violin Partita No. 2 in D minor, BWV 1004: IV. Giga (8.570277-78)",JS BACH,"Violin Partita No. 2 in D minor, BWV 1004: IV. Giga"
BARRIOS MANGORE La Catedral (8.555718),BARRIOS MANGORE,La Catedral
"VIVALDI Concerto for Two Horns in F major, RV 539 (8.553204)",VIVALDI,"Concerto for Two Horns in F major, RV 539"
"MOZART Don Giovanni, K. 527: Non mi dir (8.660080-82)",MOZART,"Don Giovanni, K. 527: Non mi dir"
VERDI La Traviata: E' strano! e strano! (8.660011-12),VERDI,La Traviata: E' strano! e strano!
"DVORAK 10 Biblical Songs, Op. 99, B. 185: No. 4. Hospodin jest muj pastyr (The Lord is my shepherd) (Delos DE3161)",DVORAK,"10 Biblical Songs, Op. 99, B. 185: No. 4. Hospodin jest muj pastyr"
"DVORAK Serenade for Strings in E major, Op. 22: II. Tempo di valse (8.550419)",DVORAK,"Serenade for Strings in E major, Op. 22: II. Tempo di valse"
"DVORAK Slavonic Dance No. 15 in C major, Op. 72, No. 7 (8.550143)",DVORAK,"Slavonic Dance No. 15 in C major, Op. 72, No. 7"
"DVORAK Songs my mother taught me, Op. 55, No. 4 (8.554730)",DVORAK,"Songs my mother taught me, Op. 55, No. 4"
SMETANA Ma vlast (My Fatherland): No. 5. Tabor (8.550931),SMETANA,Ma vlast
"TCHAIKOVSKY Nocturne in C-sharp minor, Op. 19, No. 4 (8.550519)",TCHAIKOVSKY,"Nocturne in C-sharp minor, Op. 19, No. 4"
"DITTERSDORF Sinfonia in A Major, Grave A10, ""Sinfonia nazionale nel gusto di 5 nazioni"" (Flavor of 5 Nations): I. Tedesco (8.553975)",DITTERSDORF,"Sinfonia in A Major, Grave A10, ""Sinfonia nazionale nel gusto di 5 nazioni"""
GLUCK Trio Sonata No. 6: II. Allegro (Challenge Classics CC72122),GLUCK,Trio Sonata No. 6: II. Allegro
"HANDEL Keyboard Suite No. 1 in A major, HWV 426: IV. Gigue (8.550415)",HANDEL,"Keyboard Suite No. 1 in A major, HWV 426: IV. Gigue"
