COMPOSER composition title,composer(abbrev),composition
"MOZART Concerto for Flute and Harp in C major, K. 299: II. Andantino (8.557011)",MOZART,"Concerto for Flute and Harp in C major, K. 299: II. Andantino"
"MOZART Die Zauberflote (The Magic Flute), K. 620: Der Holle Rache kocht in meinem Herzen (8.660030-31)",MOZART,Die Zauberflote
"MOZART Die Zauberflote (The Magic Flute), K. 620: Overture (8.660030-31)",MOZART,Die Zauberflote
"MOZART Don Giovanni, K. 527: Don Giovanni, a cenar teco (8.660080-82)",MOZART,"Don Giovanni, K. 527: Don Giovanni, a cenar teco"
"MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: Non piu andrai, farfallone amoroso (8.660102-04)",MOZART,Le Nozze di Figaro
"MOZART Mass No. 18 in C minor, K. 427, ""Great"": Kyrie (8.554421)",MOZART,"Mass No. 18 in C minor, K. 427, ""Great"": Kyrie"
"MOZART Maurerische Trauermusik (Masonic Funeral Music), K. 477 (8.570897)",MOZART,Maurerische Trauermusik
"MOZART Piano Concerto No. 20 in D minor, K. 466: I. Allegro (8.550434)",MOZART,"Piano Concerto No. 20 in D minor, K. 466: I. Allegro"
"MOZART Piano Concerto No. 20 in D minor, K. 466: II. Romance (8.550434)",MOZART,"Piano Concerto No. 20 in D minor, K. 466: II. Romance"
"MOZART Piano Concerto No. 22 in E-flat major, K. 482: III. Allegro - Andantino cantabile - Allegro (8.550206)",MOZART,"Piano Concerto No. 22 in E-flat major, K. 482: III. Allegro - Andantino cantabile - Allegro"
"MOZART Requiem in D minor, K. 626: Dies irae (8.550235)",MOZART,"Requiem in D minor, K. 626: Dies irae"
"MOZART Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"": III. Menuetto (8.550060)",MOZART,"Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"": III. Menuetto"
"MOZART Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"": IV. Adagio (8.550060)",MOZART,"Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"": IV. Adagio"
